year,county,state_n,Dl_vloans_b,inter_bra,w1,Dl_hpi
1994,1001,1,.2702476267980938,0,.9753119912971053,.0031760899518236
1995,1001,1,-.0384270453327815,0,.9753119912971053,.0489121311581968
1996,1001,1,.1616333211206289,0,.9753119912971053,.0582032051959214
1997,1001,1,.0565231540117619,0,.9753119912971053,.0443659955413427
1998,1001,1,.0342358696525942,1,.9753119912971053,.0470915915393135
1999,1001,1,.0487191462567491,1,.9753119912971053,.0062802106632809
2000,1001,1,-.0346175781714138,1,.9753119912971053,.0188025786326715
2001,1001,1,-.0109656730833922,1,.9753119912971053,.0688628096560064
2002,1001,1,.1212783153454211,1,.9753119912971053,.0605764326397482
2003,1001,1,.2026911022510607,1,.9753119912971053,.024042501851576
2004,1001,1,.0884355513221475,1,.9753119912971053,.0245395351341333
2005,1001,1,-.0354692722696708,1,.9753119912971053,.1287862629183598
1994,1007,1,-.1017826943099429,0,.9753119912971053,.0583241638998677
1995,1007,1,1.653682614231858,0,.9753119912971053,.0481099627129851
1996,1007,1,2.153773211557859,0,.9753119912971053,.1043943512059879
1997,1007,1,.0376130448413257,0,.9753119912971053,.0386577497508647
1998,1007,1,.4544815422186019,1,.9753119912971053,.031090561399453
1999,1007,1,.5868525219103216,1,.9753119912971053,.0327740407066281
2000,1007,1,-.0521071257801164,1,.9753119912971053,-.0187348481876635
2001,1007,1,-.3565532326782623,1,.9753119912971053,.0528861976617865
2002,1007,1,-.0115608224010764,1,.9753119912971053,.0263262641449549
2003,1007,1,.2950760104254666,1,.9753119912971053,-.0014569601914154
2004,1007,1,-.0338699456136364,1,.9753119912971053,.0633390508219636
2005,1007,1,.2016758216901042,1,.9753119912971053,.0750174452125911
1994,1009,1,.4641605649805065,0,.9753119912971053,.0550332869000449
1995,1009,1,-.0358090749528497,0,.9753119912971053,.0453458978288337
1996,1009,1,.2587205134591937,0,.9753119912971053,.1026333729315976
1997,1009,1,.3555891013024368,0,.9753119912971053,.0380627261474258
1998,1009,1,.0847585124571708,1,.9753119912971053,.0312313011511636
1999,1009,1,.4077789736674937,1,.9753119912971053,.0343676594081455
2000,1009,1,.0658516822723048,1,.9753119912971053,-.0156221637857028
2001,1009,1,-.2502480060261654,1,.9753119912971053,.0565077204230189
2002,1009,1,.1131803228176782,1,.9753119912971053,.0295107123538711
2003,1009,1,.1867681978592515,1,.9753119912971053,.0004628991506088
2004,1009,1,.0297728667995898,1,.9753119912971053,.0614791263624186
2005,1009,1,.0383044835885809,1,.9753119912971053,.0751830622233456
